week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff,matchup_weighted_rp_epa_diff,matchup_fav_weighted_epa_diff,matchup_dog_weighted_epa_diff,fav_run_pct,fav_pass_pct,dog_run_pct,dog_pass_pct,avg_run_pct,avg_pass_pct
3,Broncos @ Chargers,Chargers,Broncos,2.5,3,0.5,False,True,0.03,-0.01,0.07,-0.07,-0.1,-0.1,0.04,0.01,0.09,-0.08,-0.13999999999999999,0.01,0.0,0.05,-0.06,-0.1,-0.12,-0.12319999999999998,-0.12383999999999998,-0.12255999999999999,0.40399999999999997,0.596,0.436,0.564,0.42,0.58
3,Saints @ Seahawks,Seahawks,Saints,7.5,31,23.5,False,True,0.0,-0.04,-0.14,0.0,0.18000000000000002,0.18000000000000002,0.0,0.04,-0.17,0.09,0.22,0.0,-0.19,-0.08,-0.11,0.16000000000000003,0.19,0.19258000000000003,0.18952000000000002,0.19564,0.508,0.49200000000000005,0.406,0.594,0.457,0.543
3,Cowboys @ Bears,Bears,Cowboys,1.5,17,15.5,False,True,0.02,0.0,0.14,0.15,0.02999999999999997,0.029999999999999902,0.07,0.0,0.21,0.19,0.05000000000000002,-0.05,0.0,0.01,0.1,0.04,0.04500000000000001,0.04562500000000001,0.04533000000000001,0.045920000000000016,0.467,0.5329999999999999,0.408,0.5920000000000001,0.4375,0.5625
3,Cardinals @ 49ers,49ers,Cardinals,1.5,1,-0.5,True,False,0.0,0.03,0.0,0.02,-0.009999999999999998,-0.009999999999999998,0.07,0.09,0.0,0.07,0.05000000000000002,-0.11,-0.06,0.0,-0.08,-0.13,-0.039999999999999994,-0.02496999999999999,-0.024339999999999987,-0.025599999999999994,0.413,0.5870000000000001,0.42,0.58,0.4165,0.5835
3,Chiefs @ Giants,Chiefs,Giants,6.5,13,6.5,False,True,0.17,-0.06,-0.04,0.08,0.35,0.35,0.22,-0.09,-0.05,0.03,0.39,0.07,0.0,-0.02,0.16,0.25,0.32,0.32532,0.32784,0.3228,0.444,0.556,0.48,0.52,0.46199999999999997,0.538
3,Lions @ Ravens,Ravens,Lions,5.5,-8,-13.5,True,False,0.0,0.13,0.1,-0.1,-0.33,-0.33,0.0,0.16,0.23,-0.08,-0.47000000000000003,0.0,0.07,-0.03,-0.13,-0.17,-0.32,-0.32105000000000006,-0.32330000000000003,-0.31880000000000003,0.489,0.511,0.504,0.496,0.4965,0.5035000000000001
4,Seahawks @ Cardinals,Seahawks,Cardinals,1.5,3,1.5,False,True,0.0,-0.04,0.0,0.02,0.06,0.06,0.0,0.04,0.0,0.07,0.030000000000000006,0.0,-0.19,0.0,-0.08,0.11,0.07,0.06712,0.07064000000000001,0.0636,0.508,0.49200000000000005,0.42,0.58,0.46399999999999997,0.536
4,Vikings @ Steelers,Steelers,Vikings,2.5,-3,-5.5,True,False,0.05,0.07,-0.11,-0.04,0.049999999999999996,0.05,0.09,0.13,-0.09,-0.08,-0.030000000000000013,-0.01,-0.02,-0.14,0.02,0.17,0.07,0.05460000000000001,0.056999999999999995,0.05220000000000001,0.435,0.565,0.41100000000000003,0.589,0.42300000000000004,0.577
4,Commanders @ Falcons,Commanders,Falcons,1.5,-7,-8.5,True,False,0.0,0.07,-0.06,-0.02,-0.03000000000000001,-0.03000000000000011,0.0,0.13,-0.07,-0.07,-0.13,0.0,-0.01,-0.05,0.03,0.09,-0.020000000000000004,-0.02748000000000001,-0.02550000000000001,-0.029459999999999986,0.475,0.525,0.457,0.5429999999999999,0.46599999999999997,0.534
4,Saints @ Bills,Bills,Saints,16.5,12,-4.5,True,False,0.16,-0.02,-0.14,0.0,0.32,0.32,0.17,-0.07,-0.17,0.09,0.5,0.13,0.04,-0.08,-0.11,0.060000000000000005,0.28,0.29606,0.27076,0.32136,0.521,0.479,0.406,0.594,0.4635,0.5365
4,Browns @ Lions,Lions,Browns,8.5,24,15.5,False,True,0.1,-0.1,-0.18,-0.07,0.31000000000000005,0.30999999999999994,0.23,-0.08,-0.27,0.03,0.6100000000000001,-0.03,-0.13,-0.02,-0.2,-0.08000000000000002,0.265,0.30295,0.26224000000000003,0.34366,0.504,0.496,0.386,0.614,0.445,0.5549999999999999
4,Panthers @ Patriots,Patriots,Panthers,5.5,29,23.5,False,True,0.09,-0.04,-0.05,0.06,0.24,0.24,0.26,0.0,-0.1,0.1,0.45999999999999996,-0.13,-0.11,0.01,0.0,-0.03,0.21499999999999997,0.22088,0.21451,0.22725,0.501,0.499,0.475,0.525,0.488,0.512
4,Chargers @ Giants,Chargers,Giants,6.5,-3,-9.5,True,False,0.03,-0.01,-0.04,0.08,0.16,0.16,0.04,0.01,-0.05,0.03,0.11000000000000001,0.01,0.0,-0.02,0.16,0.19,0.15000000000000002,0.14536,0.14232,0.1484,0.40399999999999997,0.596,0.48,0.52,0.44199999999999995,0.558
4,Titans @ Texans,Texans,Titans,7.0,26,19.0,False,True,0.02,-0.13,-0.21,0.1,0.45999999999999996,0.45999999999999996,0.05,-0.21,-0.26,0.18,0.7,-0.03,-0.01,-0.11,0.01,0.1,0.39999999999999997,0.4555,0.4353999999999999,0.47559999999999997,0.441,0.5589999999999999,0.374,0.626,0.4075,0.5925
4,Colts @ Rams,Rams,Colts,3.5,7,3.5,False,True,0.04,-0.1,0.23,-0.03,-0.12,-0.12,0.18,-0.12,0.27,-0.04,-0.010000000000000037,-0.16,-0.04,0.16,-0.02,-0.3,-0.15500000000000003,-0.13788999999999998,-0.13151,-0.14427,0.419,0.581,0.46299999999999997,0.537,0.44099999999999995,0.5589999999999999
4,Jaguars @ 49ers,49ers,Jaguars,3.0,-5,-8.0,True,False,0.0,0.03,-0.01,-0.04,-0.06,-0.06,0.07,0.09,-0.04,-0.02,6.938893903907228e-18,-0.11,-0.06,0.05,-0.06,-0.15999999999999998,-0.07999999999999999,-0.06575999999999999,-0.06607999999999999,-0.06543999999999998,0.413,0.5870000000000001,0.409,0.591,0.411,0.589
