week,game,final_score,away_team,home_team,favorite,underdog,spread_line,favorite_score,underdog_score,margin,underdog_covered,week_type,home_away_status,away_favorite,home_favorite,away_underdog,home_underdog,corrected_category,underdog_category
5,Buccaneers @ Seahawks,TB 38 - SEA 35,Buccaneers,Seahawks,Seahawks,Buccaneers,3.5,35,38,-3,True,5,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
5,Lions @ Bengals,DET 37 - CIN 24,Lions,Bengals,Lions,Bengals,10.5,37,24,13,False,5,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
5,Commanders @ Chargers,WSH 27 - LAC 10,Commanders,Chargers,Chargers,Commanders,2.5,10,27,-17,True,5,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
5,Patriots @ Bills,NE 23 - BUF 20,Patriots,Bills,Bills,Patriots,8.0,20,23,-3,True,5,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
5,Chiefs @ Jaguars,JAX 31 - KC 28,Chiefs,Jaguars,Chiefs,Jaguars,3.5,28,31,-3,True,5,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
6,Eagles @ Giants,NYG 34 - PHI 17,Eagles,Giants,Eagles,Giants,7.5,17,34,-17,True,6,Home Favorite,True,False,False,True,Away Favorite,Home Underdog
6,Broncos @ Jets,DEN 13 - NYJ 11,Broncos,Jets,Broncos,Jets,7.5,13,11,2,True,6,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
6,Cardinals @ Colts,IND 31 - ARI 27,Cardinals,Colts,Colts,Cardinals,6.5,31,27,4,True,6,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
6,Chargers @ Dolphins,LAC 29 - MIA 27,Chargers,Dolphins,Chargers,Dolphins,4.5,29,27,2,True,6,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
6,Patriots @ Saints,NE 25 - NO 19,Patriots,Saints,Patriots,Saints,3.5,25,19,6,False,6,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
6,Browns @ Steelers,PIT 23 - CLE 9,Browns,Steelers,Steelers,Browns,5.0,23,9,14,False,6,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
6,Cowboys @ Panthers,CAR 30 - DAL 27,Cowboys,Panthers,Cowboys,Panthers,3.5,27,30,-3,True,6,Home Favorite,True,False,False,True,Away Favorite,Home Underdog
6,Seahawks @ Jaguars,SEA 20 - JAX 12,Seahawks,Jaguars,Seahawks,Jaguars,1.5,20,12,8,False,6,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
6,Rams @ Ravens,LAR 17 - BAL 3,Rams,Ravens,Rams,Ravens,7.5,17,3,14,False,6,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
6,Titans @ Raiders,LV 20 - TEN 10,Titans,Raiders,Raiders,Titans,4.5,20,10,10,False,6,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
6,Bengals @ Packers,GB 27 - CIN 18,Bengals,Packers,Packers,Bengals,14.5,27,18,9,True,6,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
6,49ers @ Buccaneers,TB 30 - SF 19,49ers,Buccaneers,49ers,Buccaneers,3.0,19,30,-11,True,6,Home Favorite,True,False,False,True,Away Favorite,Home Underdog
6,Lions @ Chiefs,KC 30 - DET 17,Lions,Chiefs,Chiefs,Lions,2.5,30,17,13,False,6,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
6,Bills @ Falcons,ATL 24 - BUF 14,Bills,Falcons,Bills,Falcons,4.5,14,24,-10,True,6,Home Favorite,True,False,False,True,Away Favorite,Home Underdog
6,Bears @ Commanders,CHI 25 - WSH 24,Bears,Commanders,Commanders,Bears,4.5,24,25,-1,True,6,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
7,Steelers @ Bengals,CIN 33 - PIT 31,Steelers,Bengals,Bengals,Steelers,3.5,33,31,2,True,7,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
7,Rams @ Jaguars,LAR 35 - JAX 7,Rams,Jaguars,Rams,Jaguars,3.5,35,7,28,False,7,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
7,Saints @ Bears,CHI 26 - NO 14,Saints,Bears,Bears,Saints,3.5,26,14,12,False,7,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
7,Dolphins @ Browns,CLE 31 - MIA 6,Dolphins,Browns,Browns,Dolphins,3.5,31,6,25,False,7,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
7,Patriots @ Titans,NE 31 - TEN 13,Patriots,Titans,Patriots,Titans,3.5,31,13,18,False,7,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
7,Raiders @ Chiefs,KC 31 - LV 0,Raiders,Chiefs,Chiefs,Raiders,7.5,31,0,31,False,7,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
7,Eagles @ Vikings,PHI 28 - MIN 22,Eagles,Vikings,Eagles,Vikings,3.5,28,22,6,False,7,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
7,Panthers @ Jets,CAR 13 - NYJ 6,Panthers,Jets,Jets,Panthers,3.5,6,13,-7,True,7,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
7,Giants @ Broncos,DEN 33 - NYG 32,Giants,Broncos,Broncos,Giants,3.5,33,32,1,True,7,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
7,Colts @ Chargers,IND 38 - LAC 24,Colts,Chargers,Colts,Chargers,3.5,38,24,14,False,7,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
7,Commanders @ Cowboys,DAL 44 - WSH 22,Commanders,Cowboys,Cowboys,Commanders,7.5,44,22,22,False,7,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
7,Packers @ Cardinals,GB 27 - ARI 23,Packers,Cardinals,Packers,Cardinals,3.5,27,23,4,True,7,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
7,Falcons @ 49ers,SF 20 - ATL 10,Falcons,49ers,49ers,Falcons,7.5,20,10,10,False,7,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
7,Buccaneers @ Lions,DET 24 - TB 9,Buccaneers,Lions,Lions,Buccaneers,7.5,24,9,15,False,7,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
7,Texans @ Seahawks,SEA 27 - HOU 19,Texans,Seahawks,Seahawks,Texans,3.5,27,19,8,False,7,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
