week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff,fav_weighted_rp_epa,dog_weighted_rp_epa,corrected_matchup_rp_epa_diff,fav_pass_epa_diff,fav_run_epa_diff,dog_pass_epa_diff,dog_run_epa_diff,fav_run_pct,fav_pass_pct,dog_run_pct,dog_pass_pct
3,Colts @ Titans,Colts,Titans,3.5,21,17.5,False,True,0.23,-0.03,-0.21,0.1,0.5700000000000001,0.5700000000000001,0.27,-0.04,-0.26,0.18,0.75,0.16,-0.02,-0.11,0.01,0.30000000000000004,0.525,0.11778000000000001,0.17138,-0.053599999999999995,0.04833000000000001,0.06945,0.13772,0.03366,0.46299999999999997,0.537,0.374,0.626
3,Bengals @ Vikings,Vikings,Bengals,3.0,38,35.0,False,True,-0.11,-0.04,-0.05,0.17,0.15000000000000002,0.15,-0.09,-0.08,-0.1,0.24,0.32999999999999996,-0.14,0.02,0.05,0.07,-0.14,0.09499999999999997,-0.28068,0.0024999999999999988,-0.28318,-0.19437,-0.08631000000000001,0.012999999999999998,-0.010499999999999999,0.41100000000000003,0.589,0.35,0.65
3,Steelers @ Patriots,Steelers,Patriots,1.5,7,5.5,False,True,0.05,0.07,0.09,-0.04,-0.15,-0.15,0.09,0.13,0.26,0.0,-0.30000000000000004,-0.01,-0.02,-0.13,-0.11,0.03,-0.135,0.09434999999999999,-0.009759999999999991,0.10410999999999998,0.05084999999999999,0.0435,-0.06487,0.055110000000000006,0.435,0.565,0.501,0.499
3,Jets @ Buccaneers,Buccaneers,Jets,7.0,2,-5.0,True,False,0.02,-0.08,-0.05,0.09,0.24,0.24000000000000002,0.05,-0.06,-0.04,0.16,0.31000000000000005,-0.03,-0.1,-0.05,0.02,0.14,0.22500000000000003,-0.08413999999999999,-0.03449,-0.04964999999999999,-0.06258999999999999,-0.02155,-0.010339999999999998,-0.02415,0.431,0.569,0.483,0.517
3,Raiders @ Commanders,Commanders,Raiders,3.5,17,13.5,False,True,0.0,0.07,-0.18,0.04,0.15,0.15,0.0,0.13,-0.12,0.15,0.13999999999999999,0.0,-0.01,-0.26,-0.13,0.14,0.14,-0.017,0.25,-0.267,-0.07875,0.06175,0.13625,0.11375,0.475,0.525,0.455,0.545
3,Falcons @ Panthers,Panthers,Falcons,5.5,-30,-35.5,True,False,-0.05,0.06,-0.06,-0.02,-0.07,-0.0700000000000001,-0.1,0.1,-0.07,-0.07,-0.2,0.01,0.0,-0.05,0.03,0.09,-0.05500000000000001,-0.025249999999999998,0.11515999999999998,-0.14040999999999998,-0.01575,-0.009499999999999998,0.09230999999999999,0.022850000000000002,0.475,0.525,0.457,0.5429999999999999
3,Texans @ Jaguars,Jaguars,Texans,1.5,7,5.5,False,True,-0.01,-0.04,0.02,-0.13,-0.12000000000000001,-0.12,-0.04,-0.02,0.05,-0.21,-0.28,0.05,-0.06,-0.03,-0.01,0.13,-0.07500000000000001,0.12500999999999998,-0.05236,0.17736999999999997,0.10046999999999999,0.02454,-0.03913,-0.01323,0.409,0.591,0.441,0.5589999999999999
3,Broncos @ Chargers,Chargers,Broncos,2.5,3,0.5,False,True,0.03,-0.01,0.07,-0.07,-0.1,-0.1,0.04,0.01,0.09,-0.08,-0.13999999999999999,0.01,0.0,0.05,-0.06,-0.1,-0.12,0.0998,-0.06692,0.16671999999999998,0.07152,0.02828,-0.04511999999999999,-0.0218,0.40399999999999997,0.596,0.436,0.564
3,Saints @ Seahawks,Seahawks,Saints,7.5,31,23.5,False,True,0.0,-0.04,-0.14,0.0,0.18000000000000002,0.18000000000000002,0.0,0.04,-0.17,0.09,0.22,0.0,-0.19,-0.08,-0.11,0.16000000000000003,0.19,0.0116,0.08008000000000001,-0.06848000000000001,-0.04428,0.05588,0.12474,-0.04466,0.508,0.49200000000000005,0.406,0.594
3,Cowboys @ Bears,Bears,Cowboys,1.5,17,15.5,False,True,0.02,0.0,0.14,0.15,0.02999999999999997,0.029999999999999902,0.07,0.0,0.21,0.19,0.05000000000000002,-0.05,0.0,0.01,0.1,0.04,0.04500000000000001,-0.13401,-0.12840000000000001,-0.005609999999999976,-0.06395999999999999,-0.07005,-0.12432000000000001,-0.004079999999999999,0.467,0.5329999999999999,0.408,0.5920000000000001
